CNT,Mean_Motivation,Mean_Performance,Global_Mean_Motivation,Global_Mean_Performance,Cuadrante,REGION
ALB,0.12041116005873716,368.25404764235606,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Europe
ARE,0.19861788617886178,433.8298561219512,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Asia
ARG,0.24952522500206423,388.5489809677153,0.2316962526766828,439.4284177459322,Alta motivación / Bajo rendimiento,Americas
AUS,0.291210835752028,487.16593694277,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Oceania
AUT,0.2827182571939522,490.87702037067146,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Europe
BEL,0.23171614771904417,494.0155359160029,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Europe
BGR,0.2143441951858523,418.3383755690192,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Europe
BRA,0.18040377847749584,381.13654866641974,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Americas
BRN,0.21233859397417504,440.6654134863702,0.2316962526766828,439.4284177459322,Baja motivación / Alto rendimiento,Otro
CAN,0.26615524639188665,484.5220272092922,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Americas
CHE,0.3129301508273539,506.45947006882415,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Europe
CHL,0.3091861898890259,428.55602217940816,0.2316962526766828,439.4284177459322,Alta motivación / Bajo rendimiento,Americas
COL,0.21091747821629933,390.80081665812406,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Americas
CRI,0.23049239326026502,384.3459398331425,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Americas
CZE,0.27423167848699764,499.3702698936171,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Europe
DEU,0.28989535644211906,477.7435169228254,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Europe
DNK,0.28483870967741937,478.79859729032256,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Europe
DOM,0.14254513686662784,339.82877939720447,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Americas
ESP,0.2933116883116883,481.8654807954545,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Europe
EST,0.32869211514392993,512.7133570556946,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Europe
FIN,0.33421232542240453,475.32395313995505,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Europe
FRA,0.29320531757754803,468.2440119350074,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Europe
GBR,0.26171754548257786,481.82222659574467,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Europe
GEO,0.18988303205225582,390.4614478657147,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Otro
GRC,0.28767765110104637,433.54078606903016,0.2316962526766828,439.4284177459322,Alta motivación / Bajo rendimiento,Europe
GTM,0.2316962526766828,345.55712924855493,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Americas
HKG,0.31521923142034874,546.0300464872186,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Asia
HRV,0.20700896495517523,462.98475929910353,0.2316962526766828,439.4284177459322,Baja motivación / Alto rendimiento,Europe
HUN,0.31881252016779604,479.72655884156177,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Europe
IDN,0.1070020090780564,379.03127822010566,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Asia
IRL,0.2109894056383552,492.179588866942,0.2316962526766828,439.4284177459322,Baja motivación / Alto rendimiento,Europe
ISL,0.38898809523809524,459.27331258928575,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Europe
ISR,0.430171172612382,457.1238245720685,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Asia
ITA,0.24327141774071265,474.0337175890826,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Europe
JAM,0.2034598502452879,371.4099119545572,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Americas
JOR,0.19989742274650596,360.3071909090909,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Asia
JPN,0.27534722222222224,534.9294799652778,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Asia
KAZ,0.178764732662249,446.01273215640646,0.2316962526766828,439.4284177459322,Baja motivación / Alto rendimiento,Asia
KHM,0.2316962526766828,327.4092933888994,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Asia
KOR,0.20281995661605207,531.0930331887201,0.2316962526766828,439.4284177459322,Baja motivación / Alto rendimiento,Asia
KSV,0.17703666832586692,352.4104765886843,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Europe
LTU,0.24679619677552708,471.54377935786135,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Europe
LVA,0.26000372231528013,482.5802651405174,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Europe
MAC,0.2636861313868613,552.0542690009124,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Asia
MAR,0.22935779816513763,363.36233186253094,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Africa
MDA,0.21587810745789895,415.5239377706495,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Europe
MEX,0.2298027989821883,395.4058055820611,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Americas
MKD,0.19062027231467474,390.4986265506808,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Europe
MLT,0.18676047329708986,468.9976039974416,0.2316962526766828,439.4284177459322,Baja motivación / Alto rendimiento,Europe
MNE,0.20386673571551872,406.0052076644226,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Europe
MNG,0.25275039291327334,423.9253181597371,0.2316962526766828,439.4284177459322,Alta motivación / Bajo rendimiento,Asia
MYS,0.16565285047390013,409.4915092658084,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Asia
NLD,0.3297661514070551,491.04093218390807,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Europe
NOR,0.22765088488882165,468.47831216154896,0.2316962526766828,439.4284177459322,Baja motivación / Alto rendimiento,Europe
NZL,0.2849209739427595,478.8743747543785,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Oceania
PAN,0.1430457746478873,353.4983263864437,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Americas
PER,0.20163605051664754,394.15256621699194,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Americas
PHL,0.18504101209509244,354.1668255526206,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Asia
POL,0.3654965895857594,494.4545991349193,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Europe
PRT,0.33416752539378775,475.5774839687914,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Europe
PRY,0.2316962526766828,340.78028027143984,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Americas
PSE,0.19291587602783047,364.6617301454775,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Asia
QAT,0.19437206878582594,411.989310825951,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Asia
ROU,0.22514937533948942,435.55026704236826,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Europe
SAU,0.22170900692840648,389.20505232390303,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Asia
SGP,0.3764759309718438,573.9839057372086,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Asia
SLV,0.1524235645041014,345.1215754064131,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Americas
SRB,0.18696397941680962,439.8169332917511,0.2316962526766828,439.4284177459322,Baja motivación / Alto rendimiento,Europe
SVK,0.29052197802197804,468.620391981456,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Europe
SVN,0.29712840351138226,471.7052422109805,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Europe
SWE,0.255764163372859,482.42059744729903,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Europe
TAP,0.2385180126344545,533.8761279836094,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Asia
THA,0.19505591524426133,414.58713478516773,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Asia
TUR,0.23048275862068965,451.8850976965517,0.2316962526766828,439.4284177459322,Baja motivación / Alto rendimiento,Otro
URY,0.2970686007857359,409.28727701722573,0.2316962526766828,439.4284177459322,Alta motivación / Bajo rendimiento,Americas
USA,0.28031634446397186,462.80968554481547,0.2316962526766828,439.4284177459322,Alta motivación / Alto rendimiento,Americas
UZB,0.1705745235157,363.90946626902513,0.2316962526766828,439.4284177459322,Baja motivación / Bajo rendimiento,Asia
VNM,0.2316962526766828,468.83368103164145,0.2316962526766828,439.4284177459322,Baja motivación / Alto rendimiento,Asia
